,Unnamed: 0,comment
140,140,Koruptor 2 yang ada Nasdem PDIP PAN akan diciduk segera.
141,141,Dipastikan 2 putaran pasti menang Ridwan Kamil
142,142,Kalian bertiga diawasi Wiwi Wowo
143,143,10 Tahun pak Prabowo Gibran sukses dan dapat diteruskan.
144,144,Kalian ini sama dengan antek asing mau hantam bangsa Indonesia.
145,145,Hati2 kalian semuanya harus dibalas dengan bangsa Indonesia
146,146,Lawan mulyono jilid 3
147,147,"kami pilih 02 karna di situ ada wakilnya yang kami sukai,hanya itu .👍👍🇮🇩🇮🇩"
148,148,Ada yg tau inisial pejabat jakarta yg dipanggil Jokowi waktu mau dukung pram?
149,149,Oh parcok parcok
150,150,"Jokowi, Prabowo, FPI vs Anies"
151,151,ADA YG LIHAT TIM SENYAP ANDIKA 😂
152,152,"Tahun 2029 Presiden nya Gibran wakli nya Bobby , Gubernur DKI Kaisang ."
153,153,mas mul mas mul
154,154,"gile banget yee yg dulunya framing anti banteng sekarang berbalik jd anti mulyono, dinamis banget politik negri wakanda, seru wkwk"
155,155,jokowi maunya selalu 58% seperti dicapres yang lalu dan biasa yang mau dipakai cara dari dunia lain yah kan ?
156,156,Coba adakan acara debat antara Jokowi vs Anis pake bhs Inggris dan ditayangkan tv nasional... Lumayan bikin penonton terbahak bahak lihat tampang mulyono.. Yg calon sekjen PBB..
157,157,Kali ini bocor alus jadi bocor ambyarrr
158,158,Ini jakarta wiwi pada melek tekhnologi udh ga mempan lagi serangan fajar cm 100 - 200 rb sih klo / rmh 1 milyar sih ga tau juga 😂😂😂
159,159,Sabarlah kawan yg zolim pasti musnah
160,160,Kelihatan gak sekolah nya mulyono  bs berhitung ngak😂😂😂
161,161,"itulah pinternya jkw.main 2 kaki kalai pram menang jkw..seakan2 ikut bantu pramono.
.."
162,162,Yang komen anak abah semua wkwkwk. Siap2 abahnya kena ciduk nih wkwkk
163,163,Bang Pram kurang Guanteng setelah Rambut dipotong...
164,164,Saya yakin nanti sijoko ini akan kena kutukan dari perbuatannya.
165,165,"Jokowi memang, jahat sama Abah ANIS BASWEDAN"
166,166,Hahahhaha kerennn
167,167,"Aneh sekali ya...! Bukankah Jkw sudah tidak lagi menjadi Presiden RI mengapa ikut campur urusan Pilkada? Walaupun dia masih menjabat Presiden juga tidak boleh mencampuri urusan Pilkada karena KITA DILARANG DALAM UNDANG-UNDANG Termasuk UU Pemilu yakni Jujur, Adil, Langsung, Bebas dan Rahasia"
168,168,"Ini bisa jadi bukti buat orang jateng klo jokowi itu orangnya kayak gmna, tp sayangnya orang jateng sudah terbansos oleh jokowi tanpa mikir baik buruknya kedepan, miris"
169,169,"Besok klo ada pilihan lurah hubungi Jokowi aja biar menang, 😂😂😂"
170,170,Sok tahu isi hat orang bro3
171,171,*seriusnanya* Kalo presiden melanggar undangundang itu gapapa ya?
172,172,"• Niat KIM+ menggembosi anies berhasil lewat loby partai politik dan dengan menggaet suswono(pks) sbg wakil RK
•mau tidak mau PKS meninggalkan anies karna koalisi yg juga kurang solid secara politis.
•hal tersebut membuat pendukung anies dan pks menjadi semakin muak karna pks gabung ke pihak kim+.
•ditambah suara PDIP di jakarta yg besar dan suara pks/anies yg lumayan besar suaranya di jakarta membuat dukungannya ke bang doel,banyak yang kecewa oleh pks khususnya pks jakarta.

Faktor kenaikan suara mas pram
•pemilih PDIP jakarta besar
•fans ahok
•fans anies
•kekecewaan kader dan simpatisan pks jakarta terhadap partainya dan koalisi kim+
•faktor bang doel yg juga lebih lekat dengan jakarta."
173,173,Jangan kasih peluang untuk anak mulyono jd presiden bisa bahaya.
174,174,"MENURUT SAYA ADA 3 TUJUAN ABAH ANIES MENDUKUNG PRAMONO+RANO :
PERTAMA: MEMBERI PEMBELAJARAN KEPADA KETUM PDI-P MEGAWATI BAGAIMANA CARA BERPOLITIK DAN BERDEMOKRASI YG SANTUN DAN BERMARTABAT. 
KEDUA: MELALUI PRAMONO+RANO VISI MISI DAN PROGRAM ABAH ANIES BISA TEREALISASI, TERUTAMA UNTUK MENYELAMATKAN WARGA KAMPUNG BAYAM, DAN WARGA LAINNYA YANG SAAT DKJ DIJABAT OLEH PENGGANTINYA PROGRAM ANIES KANDAS... DISINILAH ANIES MAMPU MENUNJUKKAN SIKAP KETELADANAN BAGI SEMUA.... TERMASUK ANAK2 ABAH YG AWALNYA MERASA DIKHIANATI....
YANG KE-TIGA KETIKA MULYONO TETAP CAWE2 DALAM PILGUB DI DKJ MAUPUN DITEMPAT LAINNYA. DISINI ANIES INGIN MENUNJUKKAN KEKUATAN DUKUNGAN WARGA JAKARTA KEPADANYA. SEMOGA PERJUANGAN ABAH ANIES UNTUK WARGA JAKARTA DAPAT TERWUJUD DGN TERPILIHNYA PARMONO+BANG DUL SATU PUTARAN.
INSYAALLOH ABAH ANIES MASIH CALON YG TERBAIK UNTUK PILPRES TAHUN 2029 NANTI...."
175,175,Tempo mau lawan Jokowi? Malu lu lu dasar barisan nyinyir
176,176,Ikut abah
177,177,Kalo sistemnya begini terus ya enak aja dstir pengusaha pemimpin dan anggota partai
178,178,Jangan sesumbar mau lawan Jokowi nanti pasti malu
179,179,Jurnalis bernyawa ganda
180,180,"Sangat luarbiasa memang jokowi 
.....sudah hilang rasa nya"
181,181,"Ini pernyataan tentang jokowi & komentar gaya RK yang kurang luwes sama persis sperti pernyataan Ipang Wahid di podcast Akbar Faizal, bener2 sama persis.. Apakah dari sumber yang sama ?"
182,182,PDI bantengnya kurang tenaga di berapa daerah hanya sisa di DKI itupun ada dukungan anak abah
183,183,"heleh,, nyatane menang jokowi di jateng"
184,184,Tahun ini demokrasi di acak acak mulyono. Ga malu sama yg sudah Reformasi yg telah diperjuangkan oleh mega amin rais ricky v gerung dan aktivis lainya. Ga tau malu mulyono.. 😂😂😂
185,185,kumpulan pengangguran  tdk berguna😅😅
186,186,"Itulah politik, sein kiri belok kanan apalagi didukung dengan bansos."
